System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
18:51:45:924, 2757933910641020,   32.743,   44.000, 3100,  48.801,1330.128, 369.480,  38.773,1054.605, 292.946, 95,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:46:030, 2757934220468857,   32.849,   31.000, 3200,  48.639,1335.292, 370.914,  38.898,1058.735, 294.093, 96,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:46:230, 2757934804003753,   33.049,   46.000, 3100,  45.255,1344.341, 373.428,  35.244,1065.782, 296.051, 96,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:46:338, 2757935117678243,   33.157,   27.000, 2900,  39.170,1348.551, 374.597,  30.667,1069.078, 296.966, 95,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:46:475, 2757935519110839,   33.294,   29.000, 3000,  41.246,1354.224, 376.173,  33.187,1073.643, 298.234, 96,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:46:616, 2757935928029312,   33.434,   26.000, 4200,  43.085,1360.261, 377.850,  34.897,1078.533, 299.592, 92,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:46:738, 2757936284658690,   33.556,   26.000, 3800,  39.951,1365.143, 379.206,  32.000,1082.443, 300.679, 92,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:46:862, 2757936647495125,   33.681,   24.000, 3400,  35.889,1369.605, 380.446,  28.135,1085.941, 301.650, 88,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:46:987, 2757937012653651,   33.806,   29.000, 3500,  45.403,1375.286, 382.024,  36.932,1090.562, 302.934, 92,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:47:066, 2757937242058195,   33.885,   35.000, 3100,  38.140,1378.284, 382.857,  29.992,1092.920, 303.589, 97,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 33.884513
Measured RDTSC Frequency (GHz) = 2.918

Cumulative Processor Energy_0 (Joules) = 1378.284241
Cumulative Processor Energy_0 (mWh) = 382.856734
Average Processor Power_0 (Watt) = 40.675934

Cumulative IA Energy_0 (Joules) = 1092.919800
Cumulative IA Energy_0 (mWh) = 303.588833
Average IA Power_0 (Watt) = 32.254257

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000
